ImagePath,Type
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026305.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028671.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027738.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027869.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024750.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034209.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032321.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032753.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029022.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024313.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024447.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028655.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024361.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031940.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029676.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028887.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031310.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028342.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029479.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025912.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031813.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026481.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029389.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025470.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027000.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026121.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033308.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029357.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031876.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027979.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030992.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033538.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030056.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031936.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024388.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027820.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024541.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032943.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030969.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026168.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025547.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028874.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027999.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031234.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031928.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033854.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029366.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026537.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028531.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026085.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034131.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027652.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033691.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030988.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030998.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029693.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029857.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032119.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025635.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024373.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027795.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031167.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029444.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026390.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032268.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027887.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034059.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031407.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031118.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033254.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026065.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029880.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029883.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030446.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027027.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029600.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027985.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027459.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031064.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030541.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030437.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029466.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031701.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029526.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027138.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029511.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028109.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029541.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025903.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032368.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029177.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026635.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028303.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030681.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025051.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027041.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028453.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032959.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033567.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028848.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032408.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026909.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026083.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032197.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031770.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025302.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027822.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025823.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027083.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030794.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032787.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030826.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033413.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026203.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025548.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032581.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034230.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027566.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025135.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027867.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026769.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032930.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029459.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025104.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030942.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028380.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032017.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028323.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031216.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027791.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028272.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025812.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024452.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027685.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030691.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026175.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032788.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034048.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024518.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025489.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031135.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031348.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024735.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024894.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026746.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026902.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031982.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026377.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028074.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030624.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029570.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028640.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025283.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024869.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025228.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028645.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029440.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025213.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025933.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033743.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031984.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032529.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027076.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025011.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030818.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032436.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024819.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026620.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028735.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025046.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030242.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024690.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031264.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030116.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025230.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032418.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030113.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031461.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030117.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024703.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025180.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026376.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028439.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024443.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028805.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028692.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025605.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024386.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032620.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025534.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032935.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033324.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028601.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029301.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028939.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033761.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034140.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025318.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026993.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034219.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024406.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031570.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031945.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032421.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033722.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027592.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030760.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024951.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029962.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025854.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026887.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026383.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025939.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027242.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027246.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030486.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027799.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025614.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025779.jpg,nv
